Tags,Source,Info #,Material group,Material type,Manufacturer,Core (or Grain) size (nm),Hydrodynamic size (nm),Size distribution,Surface charge (mV),Surface Area (m^2/g),Shape,Assay method,Cell line (or type),Cell line species,IC origin,Exposure time,Dose (ug/ml),Toxicity value (%)
,article,28322605,Oxide,ZnO,Nanoscale Corporation,12.5,,,,,,MTT,RIN5f,Rat,Pancreas,24 h,100,16.5022
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,Trypan blue,MDCK,Dog,Kidney,24 h,12,99.6075
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,Trypan blue,MDCK,Dog,Kidney,24 h,61,99.1366
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,Trypan blue,MDCK,Dog,Kidney,24 h,123,96.5463
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,Trypan blue,MDCK,Dog,Kidney,24 h,184,95.6044
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,Trypan blue,MDCK,Dog,Kidney,24 h,369,72.292
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,Trypan blue,MDCK,Dog,Kidney,24 h,737,5.887
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,NRU,MDCK,Dog,Kidney,24 h,12,105.2067
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,NRU,MDCK,Dog,Kidney,24 h,61,111.1792
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,NRU,MDCK,Dog,Kidney,24 h,123,97.6263
,article,28126643,Oxide,ZnO,Sigma Aldrich,72,253,,-33.7,,,NRU,MDCK,Dog,Kidney,24 h,184,35.1455
